Title_ZH,Country,Finished,Genres_EN,Score /5,Status,TMDB_ID,Title_EN,
不良少年與白手杖女孩,Japan,12/31/2021,Drama,3,Finished,135309,Love's in Sight!,
憂鬱症,Korea,12/31/2021,Drama,4,Finished,127527,Melancholia,
覆活,Taiwan,12/30/2021,Mystery,3,Finished,101363,Amensalism,
飛翔情報室,Japan,12/27/2021,Drama,4,Finished,53441,Public Affairs Office in the Sky,
夜色暗湧時,China,12/25/2021,Drama,3,Finished,138221,Love at Night,
魯邦的女兒 S2,Japan,12/25/2021,Other,2,Finished,92154,Daughter of Lupin Season 2,
魯邦的女兒 S1,Japan,12/24/2021,Other,2,Finished,92154,Daughter of Lupin Season 1,
放射治療室 S2,Japan,12/23/2021,Other,3,Finished,88264,Radiation House Season 2,
女心理師,China,12/20/2021,Drama,3,Finished,129201,Psychologist,
天才神秘會社,USA,12/18/2021,Family,3,Finished,104359,The Mysterious Benedict Society,
犯罪心理 S2,USA,12/14/2021,Other,4,Finished,4057,Criminal Minds Season 2,
犯罪心理 S1,USA,12/12/2021,Other,4,Finished,4057,Criminal Minds Season 1,
女高推理班 S1,Variety show,12/7/2021,Other,3,Finished,116013,High School Mystery Club Season 1,
大逃脫 S4,Variety show,12/6/2021,Other,4,Finished,80585,The Great Escape Season 4,
紅天機,Korea,11/27/2021,Drama,4,Finished,117896,Lovers of the Red Sky,
大逃脫 S3,Variety show,11/11/2021,Other,4,Finished,80585,The Great Escape Season 3,
只是結婚的關係,China,11/9/2021,Comedy,4,Finished,135349,Once We Get Married,
夢見獅子,China,10/31/2021,Drama,3,Finished,135505,Out of the Dream,
校對女王,Japan,10/24/2021,Comedy,4,Finished,68952,Pretty Proofreader,
惡魔戀歌,Japan,10/22/2021,Other,2,Finished,123786,A Devil and Her Love Song,
少女女巫斗心,Korea,10/9/2021,Other,3,Finished,129096,The Great Shaman Ga Doo-shim,
警察學院,Korea,10/8/2021,Drama,3,Finished,11546,Police Academy: Mission to Moscow,
程序員那麼可愛,China,10/8/2021,Comedy,2,Finished,133060,Cute Programmer,
愛情幻影,Japan,10/8/2021,Drama,2,Finished,123545,Love is Phantom,
惡黨 加害者追蹤調查,Japan,10/6/2021,Drama,3,Finished,93820,Villain: Perpetrator Chase Investigation,
准教授‧高槻彰良的推測,Japan,10/5/2021,Mystery,3,Finished,130600,Associate Professor Akira Takatsuki's Inference,
打扮戀愛是有理由的,Japan,10/4/2021,Drama,4,Finished,123491,Why I Dress Up for Love,
世界微塵里,China,10/2/2021,Drama,3,Finished,128715,Sweet Teeth,
一生一世,China,10/2/2021,Drama,4,Finished,130107,Forever and Ever,
你好火焰藍,China,10/1/2021,Action & Adventure,3,Finished,128699,The Flaming Heart,
魷魚遊戲,Korea,9/30/2021,"Action & Adventure, Mystery, and Drama",3,Finished,93405,Squid Game,
大逃脫 S2,Variety show,9/26/2021,Other,4,Finished,129096,The Great Escape Season 2,
1%的可能性,Korea,9/26/2021,Comedy,3,Finished,67802,Something About 1%,
大逃脫 S1,Korea,9/20/2021,Other,3,Finished,129096,The Great Escape Season 1,
沙風暴,Thailand,9/20/2021,Drama,2,Finished,125362,Destiny of Us,
Tokyo MER 行動急診室,Japan,9/14/2021,Drama,4,Finished,128163,TOKYO MER: Mobile Emergency Room,
珠光璀璨,Thailand,9/12/2021,Drama,3,Finished,125381,Praomook,
喵 請許願,China,9/10/2021,Comedy,3,Finished,128698,Make a Wish,
薄荷之夏,China,9/9/2021,Drama,3,Finished,128927,Summer Again,
周生如故,China,9/8/2021,Drama,5,Finished,129117,One and Only,
46天婚禮大作戰,Thailand,9/5/2021,Drama,3,Finished,128747,46 Days,
烏鴉小姐與蜥蜴先生,China,9/5/2021,Drama,3,Finished,124268,Miss Crow with Mr. Lizard,
暗格里的秘密,China,9/3/2021,Drama,4,Finished,130822,Our Secret,
你微笑時很美,China,8/20/2021,Comedy,3,Finished,95486,Falling Into Your Smile,
你是我的榮耀,China,8/17/2021,Comedy,5,Finished,127493,You Are My Glory,
賀先生的戀戀不忘,China,8/5/2021,Drama,4,Finished,128926,Unforgettable Love,
親愛的戎裝,China,7/4/2021,Other,3,Finished,126723,My Dear Guardian,
御前小仵作,China,5/23/2021,Other,4,Finished,124595,The Imperial Coroner Season 1,
他在逆光中告白,China,5/11/2021,Drama and Action & Adventure,3,Finished,123358,Mysterious Love,
良辰美景好時光,China,5/7/2021,Comedy,4,Finished,100962,Love Scenery,
機動搜查隊 MIU404,Japan,4/30/2021,Crime,4,Finished,106524,MIU404,
親愛的檸檬精先生,China,4/24/2021,Mystery,3,Finished,122696,Plot Love,
堀與宮村,Japan,4/22/2021,"Animation, Comedy, and Drama",3,Finished,228663,Horimiya: The Missing Pieces,
剛剛三十歲,Korea,4/16/2021,Comedy and Drama,2,Finished,118931,How to Be Thirty,
原來你是這樣的顧先生,China,4/16/2021,Drama,3,Finished,122111,Hello Mr. Gu,
羅密歐方程式,China,4/13/2021,Drama,2,Finished,121222,Two Souls in One,
我家女兒交不到男友,Japan,4/12/2021,Drama,4,Finished,113982,Date My Daughter!,
不能犯規的遊戲,China,4/11/2021,Other,3,Finished,120875,No Foul Game,
你是我的城池營壘,China,4/9/2021,Drama,5,Finished,117987,You Are My Hero,
暗戀橘生淮南,China,4/9/2021,Drama,3,Finished,104982,Unrequited Love ,
司藤,China,4/8/2021,Sci-Fi & Fantasy,3,Finished,120199,Rattan,
3B的戀人,Japan,4/7/2021,Drama,3,Finished,116406,The 3Bs You Shouldn’t Date,
絕對會變成BL的世界 VS 絕不想變成BL的男人,Japan,4/1/2021,Comedy and Drama,3,Finished,121926,A Man Who Defies the World of BL,
Voice,Korea,3/31/2021,Crime and Drama,4,Finished,95852,Voice,
別想打擾我學習,China,3/23/2021,Drama,3,Finished,120561,Don't Disturb My Study,
Red Eyes 監視搜查班,Japan,3/21/2021,Crime,3,Finished,117196,Red Eyes,
戀愛隨書附贈,Japan,3/21/2021,Other,4,Finished,116644,Oh! My Boss! Love not included,
暴風眼,China,3/16/2021,"Drama, Crime, and Mystery",3,Finished,90701,Storm Eye,
驅魔麵館 S1,Korea,3/16/2021,Other,5,Finished,113268,The Uncanny Counter Season 1,
我們的戀愛太糟了,Japan,3/13/2021,Drama,3,Finished,110630,We Are Too Clumsy About Love,
玲瓏狼心,China,3/11/2021,Drama,3,Finished,119042,The Wolf Princess,
前輩，請不要塗口紅,Korea,3/9/2021,Other,3,Finished,113965,She Would Never Know,
亡者之謎,Thailand,3/8/2021,"Crime, Mystery, Drama",3,Finished,113330,Manner of Death,
我的時代，你的時代,China,3/2/2021,Drama,4,Finished,116133,Go Go Squid 2: Dt.Appledog's Time,
灰姑娘上線啦,Japan,2/20/2021,Drama,2,Finished,116978,Cinderella Is Online,
